month_year	total_new_users
	232
01-2006	29
01-2007	133
01-2008	109
01-2009	645
01-2010	416
01-2011	673
01-2012	535
01-2013	486
01-2014	584
01-2015	970
01-2016	760
01-2017	773
01-2018	793
01-2019	1169
01-2020	916
01-2021	625
01-2022	539
01-2023	812
01-2024	647
01-2025	668
02-2006	22
02-2007	135
02-2008	1548
02-2009	382
02-2010	433
02-2011	487
02-2012	441
02-2013	424
02-2014	535
02-2015	794
02-2016	578
02-2017	671
02-2018	1534
02-2019	836
02-2020	795
02-2021	593
02-2022	587
02-2023	750
02-2024	606
02-2025	758
03-2006	34
03-2007	142
03-2008	249
03-2009	350
03-2010	429
03-2011	394
03-2012	491
03-2013	433
03-2014	485
03-2015	716
03-2016	556
03-2017	614
03-2018	668
03-2019	1003
03-2020	811
03-2021	627
03-2022	565
03-2023	740
03-2024	627
03-2025	840
04-2006	42
04-2007	155
04-2008	169
04-2009	303
04-2010	371
04-2011	402
04-2012	426
04-2013	380
04-2014	379
04-2015	844
04-2016	492
04-2017	598
04-2018	912
04-2019	671
04-2020	1015
04-2021	560
04-2022	507
04-2023	688
04-2024	577
04-2025	493
05-2006	52
05-2007	135
05-2008	247
05-2009	313
05-2010	361
05-2011	400
05-2012	439
05-2013	398
05-2014	387
05-2015	581
05-2016	501
05-2017	576
05-2018	850
05-2019	735
05-2020	916
05-2021	610
05-2022	697
05-2023	604
05-2024	746
05-2025	639
06-2006	43
06-2007	214
06-2008	305
06-2009	335
06-2010	409
06-2011	391
06-2012	484
06-2013	343
06-2014	679
06-2015	675
06-2016	527
06-2017	662
06-2018	838
06-2019	777
06-2020	816
06-2021	647
06-2022	790
06-2023	617
06-2024	878
06-2025	410
07-2006	53
07-2007	154
07-2008	250
07-2009	351
07-2010	372
07-2011	404
07-2012	463
07-2013	510
07-2014	883
07-2015	756
07-2016	629
07-2017	881
07-2018	1266
07-2019	1095
07-2020	889
07-2021	534
07-2022	774
07-2023	686
07-2024	840
07-2025	477
08-2006	47
08-2007	146
08-2008	277
08-2009	367
08-2010	436
08-2011	482
08-2012	488
08-2013	546
08-2014	980
08-2015	847
08-2016	858
08-2017	754
08-2018	1748
08-2019	1203
08-2020	892
08-2021	591
08-2022	663
08-2023	794
08-2024	747
08-2025	495
09-2006	50
09-2007	168
09-2008	334
09-2009	369
09-2010	357
09-2011	476
09-2012	422
09-2013	527
09-2014	808
09-2015	696
09-2016	620
09-2017	746
09-2018	1289
09-2019	1341
09-2020	693
09-2021	681
09-2022	670
09-2023	627
09-2024	612
09-2025	319
10-2006	70
10-2007	155
10-2008	373
10-2009	390
10-2010	420
10-2011	449
10-2012	448
10-2013	502
10-2014	814
10-2015	709
10-2016	681
10-2017	781
10-2018	1224
10-2019	980
10-2020	605
10-2021	695
10-2022	719
10-2023	596
10-2024	526
11-2006	859
11-2007	94
11-2008	353
11-2009	369
11-2010	427
11-2011	427
11-2012	481
11-2013	454
11-2014	864
11-2015	744
11-2016	749
11-2017	831
11-2018	1043
11-2019	1035
11-2020	547
11-2021	500
11-2022	739
11-2023	638
11-2024	504
12-2005	17
12-2006	187
12-2007	80
12-2008	368
12-2009	351
12-2010	425
12-2011	415
12-2012	419
12-2013	573
12-2014	927
12-2015	745
12-2016	701
12-2017	1016
12-2018	1023
12-2019	1018
12-2020	602
12-2021	628
12-2022	683
12-2023	597
12-2024	530
